acc_x,acc_y,acc_z,latitude,longitude,altitude,date,speed
0.27228123,1.9730008,9.536583,39.959179,116.349369,54.71,2020-11-23 00:33:46,0.0
0.30460158,1.9807816,9.527006,39.959179,116.349369,54.71,2020-11-23 00:33:46,0.0
0.27347827,1.9718037,9.5234165,39.959179,116.349369,54.71,2020-11-23 00:33:47,0.0
0.24175648,1.9538479,9.454585,39.959179,116.349369,54.71,2020-11-23 00:33:47,0.0
0.26928863,1.9586362,9.492291,39.959179,116.349369,54.71,2020-11-23 00:33:47,0.0
0.21661845,1.9496583,9.5323925,39.959179,116.349369,54.71,2020-11-23 00:33:47,0.0
0.26270485,1.9484613,9.491095,39.959179,116.349369,54.71,2020-11-23 00:33:47,0.0
0.24355206,1.9370892,9.472542,39.959179,116.349369,54.71,2020-11-23 00:33:47,0.0
0.2130273,1.9412789,9.522219,39.959179,116.349369,54.71,2020-11-23 00:33:47,0.0
0.2351727,1.94487,9.489299,39.959179,116.349369,54.71,2020-11-23 00:33:47,0.0
0.21601993,1.9418775,9.488701,39.959179,116.349369,54.71,2020-11-23 00:33:47,0.0
0.25791663,1.9460671,9.488701,39.959179,116.349369,54.71,2020-11-23 00:33:47,0.0
0.18788928,1.9203305,9.52162,39.959179,116.349369,54.71,2020-11-23 00:33:47,0.0
0.20764057,1.9257172,9.4916935,39.959179,116.349369,54.71,2020-11-23 00:33:47,0.0
0.19746566,1.9191334,9.527006,39.959179,116.349369,54.71,2020-11-23 00:33:47,0.0
0.16394827,1.9676139,9.486905,39.959179,116.349369,54.71,2020-11-23 00:33:47,0.0
0.21123172,1.9376876,9.452789,39.959179,116.349369,54.71,2020-11-23 00:33:47,0.0
0.22799042,1.8826234,9.559327,39.959179,116.349369,54.71,2020-11-23 00:33:47,0.0
0.15556893,1.9161408,9.464161,39.959179,116.349369,54.71,2020-11-23 00:33:47,0.0
0.1232486,1.956242,9.531795,39.95918,116.349369,54.71,2020-11-23 00:33:47,0.0
0.13881025,1.9173379,9.488102,39.95918,116.349369,54.71,2020-11-23 00:33:47,0.0
0.18549517,1.9149438,9.448601,39.95918,116.349369,54.71,2020-11-23 00:33:47,0.0
0.04603891,1.9376878,9.565312,39.95918,116.349369,54.71,2020-11-23 00:33:47,0.0
0.008331854,2.0226781,9.21697,39.95918,116.349369,54.71,2020-11-23 00:33:47,0.0
-0.4555248,2.0855234,9.233729,39.95918,116.349369,54.71,2020-11-23 00:33:47,0.0
-1.1683676,2.112457,9.752649,39.95918,116.349369,54.71,2020-11-23 00:33:47,0.0
-1.575963,1.7114455,10.429581,39.95918,116.349369,54.71,2020-11-23 00:33:48,0.0
-1.0935521,1.3816583,10.151867,39.95918,116.349369,54.71,2020-11-23 00:33:48,0.0
-1.1791412,1.4492915,10.172216,39.95918,116.349369,54.71,2020-11-23 00:33:48,0.0
-2.6437309,1.5408659,10.298505,39.95918,116.349369,54.71,2020-11-23 00:33:48,0.0
-2.288207,1.6749353,9.289392,39.95918,116.349369,54.71,2020-11-23 00:33:48,0.0
-1.6483846,1.8550913,8.156384,39.95918,116.349369,54.71,2020-11-23 00:33:48,0.0
0.98033595,2.5206509,7.9271493,39.95918,116.349369,54.71,2020-11-23 00:33:48,0.0
-0.12394211,0.65624636,9.732301,39.95918,116.349369,54.71,2020-11-23 00:33:48,0.0
-2.0607681,0.6029777,11.841501,39.95918,116.349369,54.71,2020-11-23 00:33:48,0.0
-1.1635795,0.50661516,12.81949,39.95918,116.349369,54.71,2020-11-23 00:33:48,0.0
-2.7089703,0.23608202,13.674183,39.95918,116.349369,54.71,2020-11-23 00:33:48,0.0
-2.0817165,0.52816206,12.112035,39.95918,116.349369,54.71,2020-11-23 00:33:48,0.0
-1.091158,0.5401326,10.643854,39.95918,116.349369,54.71,2020-11-23 00:33:48,0.0
-0.77753115,1.8395296,8.095335,39.95918,116.349369,54.71,2020-11-23 00:33:48,0.0
